Task ID,Task_Summary_Name,Start_Date,Finish_Date,Duration,Predecessors
1.8.7.1.3,Site Clearing,2023 April 28 1:00 PM,2023 August 28 12:00 PM,90 days,147FF+14d
1.8.7.2,Construction of Road Pavement,2023 May 02 8:00 AM,2023 July 31 12:00 PM,68 days,
1.8.7.2.1,Reconstruction existing bases,2023 May 02 8:00 AM,2023 May 22 5:00 PM,15 days,146
1.8.7.2.2,Reconstruction existing bases,2023 May 13 8:00 AM,2023 July 31 12:00 PM,60 days,150FS-7d
1.8.7.3,Construction of Road Pavement,2023 May 02 8:00 AM,2023 September 11 12:00 PM,100 days,
1.8.7.3.1,Embankment Construction,2023 May 02 8:00 AM,2023 August 09 5:00 PM,75 days,146
1.8.7.3.2,Embankment Construction,2023 May 16 1:00 PM,2023 September 11 12:00 PM,90 days,153FS-65d
1.8.7.4,Construction of Road Pavement,2023 January 05 1:00 PM,2023 October 31 12:00 PM,215 days,
1.8.7.4.1,Roadway Excavation & Sub base construction,2023 January 05 1:00 PM,2023 September 16 12:00 PM,182 days,35
1.8.7.4.2,Roadway Excavation & Sub base construction,2023 June 05 1:00 PM,2023 September 30 12:00 PM,90 days,"147FS-50d,156FF"
1.8.7.4.3,Roadway Excavation & Sub base construction,2023 June 17 8:00 AM,2023 October 13 12:00 PM,90 days,157SS+10d
1.8.7.4.4,Roadway Excavation & Sub base construction,2023 June 05 1:00 PM,2023 October 13 12:00 PM,100 days,157FS-90d
1.8.7.4.5,Roadway Excavation & Sub base construction,2023 June 12 8:00 AM,2023 October 31 12:00 PM,108 days,159FS-95d
1.8.7.5,Construction of Road Pavement,2023 June 28 8:00 AM,2024 August 14 5:00 PM,304 days,
1.8.7.5.1,Base and Asphalt surfacing works,2023 June 28 8:00 AM,2024 June 05 12:00 PM,250 days,160FS-95d
1.8.7.5.2,Base and Asphalt surfacing works,2023 July 31 1:00 PM,2024 July 08 5:00 PM,250 days,162FS-225d
1.8.7.5.3,Base and Asphalt surfacing works,2023 October 10 1:00 PM,2024 July 12 5:00 PM,200 days,"92,163FS-225d,65,64,63,62,61,50,51,5,6"
1.8.7.5.4,Base and Asphalt surfacing works,2023 November 11 8:00 AM,2024 August 14 5:00 PM,200 days,"164FS-175d,151,84,158"
1.8.7.6,Construction of Road Pavement,2023 August 03 1:00 PM,2024 September 24 5:00 PM,307 days,
1.8.7.6.1,Incidental Construction,2024 March 04 8:00 AM,2024 August 22 12:00 PM,120 days,164FS-90d
1.8.7.6.2,Incidental Construction,2024 June 17 1:00 PM,2024 September 04 12:00 PM,60 days,"103,106"
1.8.7.6.3,Incidental Construction,2024 August 26 8:00 AM,2024 September 06 12:00 PM,10 days,165FS+7d
1.8.7.6.4,Incidental Construction,2024 September 06 1:00 PM,2024 September 24 5:00 PM,13 days,169
1.8.7.6.5,Incidental Construction,2024 September 06 1:00 PM,2024 September 20 12:00 PM,10 days,169
1.8.7.6.6,Incidental Construction,2023 August 03 1:00 PM,2024 May 03 5:00 PM,200 days,157SS+45d
1.8.8,Civil Works,2024 September 20 1:00 PM,2024 October 16 12:00 PM,20 days,
1.8.8.1,Demobilization & Handing Over,2024 September 20 1:00 PM,2024 October 08 5:00 PM,14 days,"171,140"
1.8.8.2,Demobilization & Handing Over,2024 September 27 8:00 AM,2024 October 15 12:00 PM,14 days,174FS-9d
1.8.8.3,Demobilization & Handing Over,2024 October 15 1:00 PM,2024 October 16 12:00 PM,1 day,"141,143,74,120,68,104,174,175"
2,,2024 October 16 12:00 PM,2024 October 16 12:00 PM,0 days,"176,101,171,168,167,148,154,170,13,22,172,175,100,137,119"
